CATEGORY,GENRE,,CATEGORY,Included Sub Genres
afro,afro,,dance,13
afro,afrobeat,,hip hop,10
afro,dancehall,,techno,8
dance,electro house,,hard music,10
dance,alternative dance,,house,14
dance,balearic,,UK,10
dance,dance,,latino / brazilian,11
dance,disco,,trance,5
dance,edm,,rock,9
dance,electro,,industrial,3
dance,eurodance,,afro,3
dance,minimal synth,,pop,5
dance,club,,instrumental,4
dance,italo disco,,downtempo,2
dance,ibm,,reggae / dub,2
dance,electronica,,experimental,4
downtempo,ambient,,metal,6
downtempo,downtempo,,,0
experimental,drone,,Grand Total,119
experimental,noise,,,
experimental,experimental,,,
experimental,idm,,,
hard music,acidcore,,,
hard music,frenchcore,,,
hard music,hard techno,,,
hard music,hard trance,,,
hard music,hardcore,,,
hard music,hardstyle,,,
hard music,hard groove,,,
hard music,hardtek,,,
hard music,neorave,,,
hard music,gabber,,,
hip hop,grime,,,
hip hop,footwork,,,
hip hop,ghettotech,,,
hip hop,hip hop,,,
hip hop,r&b,,,
hip hop,rap,,,
hip hop,trap,,,
hip hop,bass,,,
hip hop,drill,,,
hip hop,miami bass,,,
house,deep tech,,,
house,acid house,,,
house,afro house,,,
house,bass house,,,
house,chicago house,,,
house,deep house,,,
house,disco house,,,
house,house,,,
house,progressive house,,,
house,tech house,,,
house,tribal house,,,
house,minimal house,,,
house,micro house,,,
house,kwaito,,,
industrial,ebm,,,
industrial,industrial,,,
industrial,dark wave,,,
instrumental,classical,,,
instrumental,jazz,,,
instrumental,soul,,,
instrumental,funk,,,
latino / brazilian,bossa nova,,,
latino / brazilian,pagode,,,
latino / brazilian,baile funk,,,
latino / brazilian,forró,,,
latino / brazilian,mpb,,,
latino / brazilian,reggaeton,,,
latino / brazilian,samba,,,
latino / brazilian,brazilian,,,
latino / brazilian,salsa,,,
latino / brazilian,axé,,,
latino / brazilian,cumbia,,,
metal,black metal,,,
metal,death metal,,,
metal,industrial metal,,,
metal,metal,,,
metal,metalcore,,,
metal,heavy metal,,,
pop,k-pop,,,
pop,pop,,,
pop,synthpop,,,
pop,vaporwave,,,
pop,indie dance,,,
reggae / dub,dub,,,
reggae / dub,reggae,,,
rock,hard rock,,,
rock,country,,,
rock,indie rock,,,
rock,pop rock,,,
rock,post-punk,,,
rock,psychedelic rock,,,
rock,punk,,,
rock,rock,,,
rock,blues,,,
techno,acid techno,,,
techno,deep techno,,,
techno,detroit techno,,,
techno,dub techno,,,
techno,german techno,,,
techno,minimal techno,,,
techno,techno,,,
techno,melodic house & techno,,,
trance,dark psytrance,,,
trance,progressive psytrance,,,
trance,progressive trance,,,
trance,trance,,,
trance,psytrance,,,
UK,breakbeat,,,
UK,jersey club,,,
UK,breakcore,,,
UK,dubstep,,,
UK,jungle,,,
UK,uk garage,,,
UK,drum & bass,,,
UK,garage,,,
UK,riddim,,,
UK,trench,,,
