CATEGORY SC,CATEGORY SHOTGUN,GENRE SC,GENRE SHOTGUN,Remarque,,
african,,afro soul,soul,,,
african,,afro-funk,funk,,,- I put the value NA as the Shotgun subgenre when the SC subgenre is not really a musical genre
african,,afrofuturism,afro,,,eg : comic
african,,alte,afro,,,
african,,coupe-decale,afro,,,- I put Null as the Shotgun subgenre when the SC subgenre cannot be linked to a Shotgun one.
african,,gnawa,afro,,,ex : electroclash
african,,griot,afro,,,
african,,kuduro,afro,,,- The Shotgun garage subgenre currently belongs to the UK genre (I probably also suggested that). I think now it is a mistake.
african,,mbalax,afro,,,"garage is a genre invented in New York in the 80s, merging disco vocals and chicago house sounds."
african,,morna,afro,,,https://music.ishkur.com/?query=Garage
african,,musique urbaine kinshasa,afro,,,I would thus suggest to move it under the house genre.
african,,rai,afro,,,"uk garage is slighly different, introducing dirtier basslines, looong breakdowns making it darker and heavier."
african,,rif,afro,,,https://music.ishkur.com/?query=SpeedGarage
african,,semba,afro,,,The difference is subtile but I think UK garage fans will get it.
african,,shatta,dancehall,,,
alternative,,alt z,hip hop,,,- The Shotgun ibm subgenre does not ring me a bell. I don't find any information on the web.
alternative,,alternative,pop,,,I have the impression that this is a typo of idm which is indeed a genre (Intelligent Dance Music)
alternative,,alternative americana,pop,,,
alternative,,alternative rock,indie rock,,,"- The Shotgun edm, club and dance subgenres are interchangeable. I would suggest to keep only one (edm)."
alternative,,arab alternative,afro,,,
alternative,,bubblegrunge,indie rock,,,- the deep house subgenre is often mislabelled.
alternative,,cuban alternative,Null,latino / brazilian,,"Deep house is originally a house subgenre, jazzy and subtle. https://music.ishkur.com/?query=USDeepHouse"
alternative,,dance-punk,indie rock,,,"However recently, lots of Youtube videos labels EDM tracks as deep house. https://www.youtube.com/watch?v=DsAd2Brhr-M"
alternative,,deep latin alternative,Null,latino / brazilian,,I chose to link SC subgenres to deep house when they are house and edm when they are EDM.
alternative,,dreamo,rock,,,e.g: the SC turkish deep house subgenre is linked to edm and not deep house as it falls into the second category.
alternative,,eau claire indie,pop,,,
alternative,,escape room,r&b,,,- There is a minimal synth subgenre within the dance genre.
alternative,,fort worth indie,pop,,,"Minimal synth is a musical movement that goes hand in hand with space synth, synth wave, dark synth, cyberpunk, etc."
alternative,,french shoegaze,indie rock,,,One could call this musical genre synthwave.
alternative,,georgian alternative,Null,,,"Without requiring to create a genre (because Shotgun probably made this choice due to the lack of relevant events),"
alternative,,ghanaian alternative,afro,,,"the fact of only including minimal synth is not, in my opinion, the most relevant choice."
alternative,,grungegaze,rock,,,"We could imagine putting synthwave instead, which would have the advantage of being able to associate all the trends of the genre."
alternative,,indie rock,indie rock,,,"The space synth, synth wave, dark synth, cyberpunk events/artists would thus be grouped together (and not Null as they are now)."
alternative,,indie surf,rock,,,
alternative,,kenyan alternative,afro,,,"- When a subgenre exists in Souncharts but not in Shotgun, I've linked it to Null even if a parent genre could have corresponded."
alternative,,modern alternative rock,indie rock,,,"ex : cuban alternative exists in SC, but not in Shotgun. I've thus linked it to Null thought it is related to the parent genre latin / brazilian"
alternative,,new rave,new rave,,,"I would suggest that, for each genre, a sub-genre of the same name should exist (as is already the case for the afro, dance, experimental, hip hop, house, metel, pop, reggae dub, rock, techno, industrial genres, trance)."
alternative,,new tribe,Null,,,NB1 : Reggae / dub does not require a subgenre named Reggae / dub because the subgenres already cover enought.
alternative,,nu gaze,indie rock,,,NB2 : the hard music genre already has the hardcore subgenre to link every subgenre that cannot be linked to another one.
alternative,,polish alternative,rock,,,"My suggestion is therefore to create the Latin/Brazilian, UK and instrumental subgenres."
alternative,,progressive alternative,rock,,,"Thus the SC cuban alternative, deep latin alternative, tropical alternativo etc. subgenres could be linked to the Latin/Brazilian Shotgun genre"
alternative,,shoegaze,indie rock,,,
alternative,,south african alternative,afro,,,"- When a subgenre exists in Soundcharts but not in Shotgun but a Shotgun subgenre seems close enough, I link it to that one."
alternative,,tropical alternativo,Null,latino / brazilian,,ex: SC dance-punk is not exactly indie rock but close enough so that fans of this genre find it normal that their favorite dance-punk band finds itself labeled indie rock.
alternative,,xtra raw,hardstyle,,,They will find it more relevant than just rock.
american,,austindie,pop,,,
american,,jersey club,jersey club,,,"- We often see regional designations of a genre. e.g: australian house, french house, greek house"
american,,lilith,pop,,,"-> Some of them are commercial subgenres, meaning that they just aim at grouping artists from a same regional space"
american,,no wave,rock,,,but not necessarly sharing musical caracteristics
american,,raspe,reggaeton,,,"e.g greek house covers a lot of different genres (eurohouse, bass house, melodic house)"
american,,santa fe indie,pop,,,-> Some really are relevant subgenres with their own identity
american,,singer-songwriter,NA,,,"e.g french house, UK house are specific subgenres of house"
american,,singer/songwriter,NA,,,-> Some have their own identity without having anything to do with the designated genre
american,,stateside dnb,drum & bass,,,e.g dutch house which is far from being house
asian,,doujin,Null,,,Thus each one of those has been linked to the most relevant Shotgun subgenre.
asian,,goa psytrance,psytrance,,,
asian,,j-core,hardcore,,,- Afrobeat (nigerian jazz) is defferent from afrobeats (afro pop)
asian,,opm,Null,,,Thus the afrobeats subgenres are linked to afro and not afrobeat.
asian,,otacore,Null,,,
asian,,regional indian,Null,,,- SC confuses punk (the rock related subgenre) and punk (a brazilian designation related to traditional music).
asian,,shibuya-kei,Null,,,I corrected the issues linking Shotgun subgenres to the relevant SC ones.
asian,,thai pop,Null,,,
australian,,aussietronica,electronica,,,- SC confuses sometimes hardcore (the electronic music subgenre) and hardcore (a punk subgenre).
australian,,didgeridoo,Null,,,I corrected the issues linking Shotgun subgenres to the relevant SC ones.
australian,,melbourne bounce international,dance,,,
blues,,electric blues,blues,,,- Trap is a name for two different genres: the rap one (with rapping) and the bass one (most of the times without vocals).
blues,,malian blues,Null,It's way closer to malian traditional music than blues. Blues fans would get confused assisting to a malian blues concert thinking it's blues.,,"Regarding that, I linked the trap subgenres to the most relevant ones."
blues,,piano blues,blues,,,- Nu Disco comes from EBM which is an industrial subgenre but losing a bit of its industrial dna.
blues,,soul blues,blues,,,I guess you could put all the Nu disco subgenres under house.
blues,,stomp and holler,pop,,,
children's music,,musica infantil,Null,,,
children's music,,nz children's music,Null,,,
"classical, ensemble & opera",,classical,classical,,,
"classical, ensemble & opera",,classical cello,classical,,,
"classical, ensemble & opera",,neo-classical,classical,,,
"classical, ensemble & opera",,polyphony,classical,,,
"classical, ensemble & opera",,violao classico,classical,,,
comedy & spoken word,,comedy,NA,,,
comedy & spoken word,,comic,NA,,,
country,,country,country,,,
country,,country rock,country,,,
electronic,,abstract beats,experimental,,,
electronic,,abstract idm,idm,,,
electronic,,acid house,acid house,,,
electronic,,acid techno,acid techno,,,
electronic,,acid trance,trance,,,
electronic,,acidcore,acidcore,,,
electronic,,african electronic,Null,,,
electronic,,afro house,afro house,,,
electronic,,afrobeat,afrobeat,,,
electronic,,aggrotech,industrial,,,
electronic,,alternative dance,alternative dance,,,
electronic,,amapiano,afro house,,,
electronic,,ambient,ambient,,,
electronic,,ambient dub techno,dub techno,,,
electronic,,ambient house,ambient,,,
electronic,,ambient idm,ambient,,,
electronic,,ambient psychill,ambient,,,
electronic,,ambient techno,ambient,,,
electronic,,arab electronic,Null,,,
electronic,,atmospheric dnb,drum & bass,,,
electronic,,australian ambient,ambient,,,
electronic,,australian dance,dance,,,
electronic,,australian house,house,Catch-all for autralian electronic uptempo music artists. It's often housy and mostly tech house (because of the influence of FISHER).,,
electronic,,australian techno,techno,"Catch-all for autralian electronic dark music artists. It is sometimes techno, sometimes not.",,
electronic,,austrian techno,german techno,Very similar,,
electronic,,balearic,balearic,,,
electronic,,balkan beats,Null,,,
electronic,,bass house,bass house,,,
electronic,,bass music,bass,,,
electronic,,bass trap,bass,,,
electronic,,bass trip,bass,,,
electronic,,basshall,bass,bass music with reggae vocals. The lack of emphasis on the vocals makes it closer to bass than reggae.,,
electronic,,batida,afro,,,
electronic,,belgian dance,dance,,,
electronic,,belgian edm,edm,,,
electronic,,belgian electronic,Null,,,
electronic,,belgian techno,techno,,,
electronic,,big beat,breakbeat,,,
electronic,,big room,electro house,,,
electronic,,bleep techno,techno,,,
electronic,,bosnian electronic,Null,,,
electronic,,boston electronic,Null,,,
electronic,,bouncy house,house,,,
electronic,,braindance,idm,,,
electronic,,brazilian edm,edm,,,
electronic,,brazilian house,edm,Catch-all for brazilian uptempo electronic music artists. It is hard to differentiate from brazilian EDM. https://musicalyst.com/genre/brazilian-house,,
electronic,,brazilian techno,techno,"Catch-all for brazilian dark electronic music artists. Sometimes it is techno, sometimes not.",,
electronic,,breakcore,breakcore,,,
electronic,,bristol electronic,uk garage,,,
electronic,,brostep,dubstep,,,
electronic,,bubble trance,eurodance,,,
electronic,,bubblegum dance,eurodance,,,
electronic,,bulgarian electronic,Null,,,
electronic,,canadian electronic,Null,,,
electronic,,canadian house,house,,,
electronic,,chicago house,chicago house,,,
electronic,,chill baile,downtempo,,,
electronic,,chillhop,downtempo,,,
electronic,,chillstep,downtempo,,,
electronic,,chillsynth,downtempo,,,
electronic,,chillwave,downtempo,,,
electronic,,chiptune,Null,,,
electronic,,christian dance,dance,,,
electronic,,circuit,dance,,,
electronic,,classic dubstep,dubstep,,,
electronic,,classic hardstyle,hardstyle,,,
electronic,,classic house,chicago house,classic house is Chicago house :  https://music.ishkur.com/?query=ChicagoHouse,,
electronic,,classic progressive house,progressive house,,,
electronic,,cologne electronic,Null,,,
electronic,,colombian electronic,Null,,,
electronic,,complextro,electro house,,,
electronic,,compositional ambient,ambient,,,
electronic,,croatian electronic,Null,,,
electronic,,cyberpunk,Null,,,
electronic,,dance,dance,,,
electronic,,dancefloor dnb,dance,,,
electronic,,danish electronic,Null,,,
electronic,,danish techno,techno,,,
electronic,,dark clubbing,industrial,,,
electronic,,dark minimal techno,minimal techno,,,
electronic,,dark progressive house,progressive house,,,
electronic,,dark psytrance,dark psytrance,,,
electronic,,dark techno,melodic house & techno,"Kevin de Vries, Hidden Empire, Maxim Dark",,
electronic,,darkstep,drum & bass,,,
electronic,,darksynth,Null,,,
electronic,,deconstructed club,idm,,,
electronic,,deep breakcore,hardcore,,,
electronic,,deep darkpsy,dark psytrance,,,
electronic,,deep deep house,deep house,,,
electronic,,deep disco house,deep house,,,
electronic,,deep dnb,drum & bass,,,
electronic,,deep dubstep,dubstep,,,
electronic,,deep euro house,edm,"Klangkarussel, Fritz Kalkbrenner. Eurohouse is the EDM bent of house. Deep eurohouse is certainly less flashy but still EDM.",,
electronic,,deep filthstep,dubstep,,,
electronic,,deep full on,psytrance,,,
electronic,,deep funk house,deep house,,,
electronic,,deep groove house,deep house,,,
electronic,,deep hardtechno,hard techno,,,
electronic,,deep house,deep house,,,
electronic,,deep idm,idm,,,
electronic,,deep liquid bass,drum & bass,,,
electronic,,deep minimal techno,deep minimal techno,,,
electronic,,deep progressive house,progressive house,,,
electronic,,deep progressive trance,progressive trance,,,
electronic,,deep psytrance,progressive psytrance,,,
electronic,,deep soul house,deep house,,,
electronic,,deep tech house,deep tech,,,
electronic,,deep techno,deep techno,,,
electronic,,deep tropical house,edm,"Petit Biscuit-like tracks. Lots of drops, little groove/soul. https://open.spotify.com/playlist/49W2BLxvDqnN3hsFLAIoqc?si=71a06293496c4488",,
electronic,,destroy techno,hard techno,,,
electronic,,detroit house,chicago house,Hard to differentiate. It's more a label thing than musical.,,
electronic,,detroit techno,detroit techno,,,
electronic,,digital hardcore,hardcore,,,
electronic,,disco house,disco house,,,
electronic,,diva house,disco house,,,
electronic,,doomcore,hardcore,,,
electronic,,downtempo,downtempo,,,
electronic,,downtempo bass,downtempo,,,
electronic,,drill and bass,idm,,,
electronic,,drum and bass,drum & bass,,,
electronic,,drumfunk,drum & bass,,,
electronic,,dub techno,dub techno,,,
electronic,,dubstep,dubstep,,,
electronic,,dubsteppe,edm,=/= dubstep. Little information on that except the Spotify playlist: https://open.spotify.com/playlist/52znEJwTNgZg2n1T8C0WcV?si=a62e3a4d66e8462b,,
electronic,,dusseldorf electronic,Null,,,
electronic,,dutch edm,edm,,,
electronic,,dutch experimental electronic,Null,"A catch-all. There is industrial, techno, ambient, not systematically experimental either.",,
electronic,,dutch house,edm,far from house music : https://open.spotify.com/playlist/2A2qSpDa4K8gD55D7sDJe7,,
electronic,,dutch tech house,tech house,,,
electronic,,dutch trance,edm,,,
electronic,,ebm,ebm,,,
electronic,,edm,edm,,,
electronic,,electra,dance,,,
electronic,,electro,electro,,,
electronic,,electro dub,dub,,,
electronic,,electro house,electro house,,,
electronic,,electro latino,electro,,,
electronic,,electro swing,dance,,,
electronic,,electro-industrial,industrial,,,
electronic,,electroclash,Null,,,
electronic,,electrofox,electro,,,
electronic,,electronic,Null,,,
electronic,,electronica,electronica,,,
electronic,,electronica argentina,electronica,,,
electronic,,electronica chilena,electronica,,,
electronic,,electronica peruana,electronica,,,
electronic,,electronica venezuela,electronica,,,
electronic,,electropop,pop,,,
electronic,,elektropunk,punk,,,
electronic,,ethnotronica,downtempo,"From what I've heard, it has less vocals than electronica, focusing on the slow/chill electronic sounds.",,
electronic,,euphoric hardstyle,hardstyle,,,
electronic,,experimental ambient,ambient,,,
electronic,,experimental club,experimental,,,
electronic,,experimental dub,dub,,,
electronic,,experimental dubstep,dubstep,,,
electronic,,experimental electronic,experimental,,,
electronic,,experimental house,house,,,
electronic,,experimental techno,techno,,,
electronic,,fidget house,electro house,,,
electronic,,filter house,house,,,
electronic,,filthstep,dubstep,,,
electronic,,finnish electronic,Null,,,
electronic,,finnish techno,techno,,,
electronic,,float house,deep house,,,
electronic,,fluxwork,ambient,,,
electronic,,focus beats,downtempo,,,
electronic,,focus trance,melodic house & techno,"Has more to do with melodic techno than trance: long drops, arp melodies, dark bass. https://open.spotify.com/playlist/1N88gD04NZ5Q8RdDl27Cve",,
electronic,,footwork,footwork,,,
electronic,,forest psy,dark psytrance,,,
electronic,,frankfurt electronic,Null,,,
electronic,,french dub,dub,,,
electronic,,french indietronica,electronica,,,
electronic,,french tech house,tech house,,,
electronic,,french techno,techno,,,
electronic,,frenchcore,frenchcore,,,
electronic,,full on,psytrance,,,
electronic,,funky house,disco house,,,
electronic,,funky tech house,tech house,,,
electronic,,future bass,uk garage,,,
electronic,,future garage,uk garage,,,
electronic,,future house,edm,Mix of eurohouse and electrohouse with heavy bass and lots of drops.,,
electronic,,gabba,hardtek,,,
electronic,,gaming dubstep,dubstep,,,
electronic,,gaming edm,edm,,,
electronic,,garage house,deep house,,,
electronic,,georgian electronic,Null,,,
electronic,,german dance,dance,,,
electronic,,german dark minimal techno,minimal techno,,,
electronic,,german electronica,electronica,,,
electronic,,german house,melodic house & techno,,,
electronic,,german tech house,tech house,,,
electronic,,german techno,german techno,,,
electronic,,german trance,hard trance,https://music.ishkur.com/?query=GermanTrance#,,
electronic,,ghettotech,ghettotech,,,
electronic,,glitch,idm,,,
electronic,,glitch hop,Null,Should be linked to UK.,,
electronic,,glitchbreak,Null,Should be linked to UK.,,
electronic,,glitchcore,idm,,,
electronic,,goa trance,psytrance,,,
electronic,,greek house,edm,Catch-all for greek electronic uptempo music artists. Overall it's more edm than house. https://www.chosic.com/genre-chart/greek-house/,,
electronic,,greek techno,techno,,,
electronic,,groove room,edm,Omnipresent pop vocals. https://www.chosic.com/genre-chart/groove-room/,,
electronic,,haitian dance,afro,Very close to hatitian traditional music.,,
electronic,,halftime dnb,drum & bass,,,
electronic,,hamburg electronic,Null,,,
electronic,,hard bass,hardcore,,,
electronic,,hard minimal techno,hard techno,,,
electronic,,hard techno,hard techno,,,
electronic,,hard trance,hard trance,,,
electronic,,hardcore techno,hard techno,,,
electronic,,hardstyle,hardstyle,,,
electronic,,hardtekk,hardtek,,,
electronic,,hardvapour,Null,"It is described as a joke. It seems hard to extract musical caracteristics. https://en.wikipedia.org/wiki/Hardvapour, https://open.spotify.com/playlist/3uxKTCL9tzfBk4waAP3u9F",,
electronic,,hauntology,experimental,,,
electronic,,hi-nrg,disco,,,
electronic,,hi-tech,dark psytrance,,,
electronic,,high-tech minimal,minimal techno,,,
electronic,,house,house,,,
electronic,,house argentino,house,,,
electronic,,hungarian edm,edm,,,
electronic,,hungarian techno,techno,,,
electronic,,icelandic electronic,Null,,,
electronic,,indian electronic,Null,,,
electronic,,indian techno,techno,,,
electronic,,industrial,industrial,,,
electronic,,industrial techno,german techno,subgenre of german techno. Emphasis on percussions with industrial sounds.,,
electronic,,intelligent dance music,idm,,,
electronic,,irish electronic,Null,,,
electronic,,irish techno,techno,,,
electronic,,israeli techno,melodic house & techno,https://open.spotify.com/playlist/7qZJbvzWIqM8WHJnedJzXX,,
electronic,,italian electronica,electronica,,,
electronic,,italian tech house,tech house,,,
electronic,,italian techno,techno,,,
electronic,,italian trance,edm,Eurotrance,,
electronic,,jackin' house,chicago house,Very close. Little bit faster and more energetic. https://pressureradio.com/jackin-house/,,
electronic,,japanese electronic,Null,,,
electronic,,japanese house,house,,,
electronic,,japanese techno,techno,,,
electronic,,jazz house,deep house,Very close. See https://music.ishkur.com/?query=USDeepHouse,,
electronic,,jump up,drum & bass,,,
electronic,,jumpstyle,hardstyle,,,
electronic,,jumptek,hardstyle,,,
electronic,,jungle,jungle,,,
electronic,,korean electronic,Null,,,
electronic,,latin house,house,,,
electronic,,latin tech house,tech house,,,
electronic,,leipzig electronic,Null,,,
electronic,,lithuanian electronic,Null,,,
electronic,,lo-fi,downtempo,,,
electronic,,lo-fi beats,downtempo,,,
electronic,,lo-fi brasileiro,downtempo,,,
electronic,,lo-fi house,micro house,,,
electronic,,lo-fi rap,rap,,,
electronic,,macedonian electronic,Null,,,
electronic,,mandible,Null,"Apparently, mandible designate both an ambient and metal subgenre https://www.chosic.com/genre-chart/mandible/ https://volt.fm/genre/2689/mandible#:~:text=Mandible%20is%20a%20genre%20of,punk%2C%20and%20post%2Dhardcore. ",,
electronic,,melodic dubstep,edm,Brostep with pop vocals,,
electronic,,melodic techno,melodic house & techno,,,
electronic,,mexican edm,edm,,,
electronic,,mexican electronic,Null,,,
electronic,,mexican tech house,tech house,,,
electronic,,mexican techno,techno,,,
electronic,,microhouse,micro house,,,
electronic,,minimal dnb,drum & bass,,,
electronic,,minimal dub,dub techno,,,
electronic,,minimal dubstep,dubstep,,,
electronic,,minimal melodic techno,melodic house & techno,,,
electronic,,minimal synth,minimal synth,,,
electronic,,minimal tech house,tech house,,,
electronic,,minimal techno,minimal techno,,,
electronic,,modular synth,ambient,,,
electronic,,modular techno,techno,,,
electronic,,moombahton,bass,,,
electronic,,munich electronic,Null,,,
electronic,,neurofunk,drum & bass,,,
electronic,,neurostep,drum & bass,,,
electronic,,new beat,industrial,,,
electronic,,new french touch,electro,,,
electronic,,new isolationism,ambient,,,
electronic,,ninja,downtempo,,,
electronic,,nitzhonot,psytrance,,,
electronic,,norwegian house,house,,,
electronic,,norwegian techno,techno,,,
electronic,,nu electro,Null,electro being originally the Kraftwerk sound. It's far from what we call electro which is electrohouse.,,
electronic,,nz dnb,drum & bass,,,
electronic,,nz electronic,Null,,,
electronic,,old school hard trance,hard trance,,,
electronic,,organic electronic,downtempo,,,
electronic,,organic house,tribal house,,,
electronic,,outsider house,micro house,,,
electronic,,persian electronic,Null,,,
electronic,,polish electronica,electronica,,,
electronic,,polish techno,techno,,,
electronic,,pop dance,dance,,,
electronic,,pop edm,edm,,,
electronic,,pop electronico,pop,,,
electronic,,portuguese techno,techno,,,
electronic,,power electronics,industrial,,,
electronic,,progressive breaks,breakbeat,,,
electronic,,progressive electro house,electro house,,,
electronic,,progressive house,progressive house,,,
electronic,,progressive psytrance,progressive psytrance,,,
electronic,,progressive trance,progressive trance,,,
electronic,,progressive trance house,progressive house,,,
electronic,,progressive uplifting trance,edm,Eurotrance,,
electronic,,proto-techno,experimental,Experimentations prior to techno but not techno,,
electronic,,psybass,dubstep,chill dubstep with psy sounds,,
electronic,,psychedelic trance,psytrance,,,
electronic,,psychill,psytrance,,,
electronic,,psytech,dark psytrance,,,
electronic,,purple sound,Null,Energic future bass. Should be linked to UK.,,
electronic,,ragga jungle,jungle,,,
electronic,,raggatek,hardtek,,,
electronic,,rave,techno,,,
electronic,,raw techno,hard techno,,,
electronic,,rawstyle,hardstyle,,,
electronic,,re:techno,german techno,,,
electronic,,riddim dubstep,dubstep,,,
electronic,,romanian electronic,Null,,,
electronic,,russian edm,edm,,,
electronic,,russian electronic,Null,,,
electronic,,russian experimental electronic,experimental,,,
electronic,,russian techno,techno,,,
electronic,,schranz,hard techno,,,
electronic,,scottish electronic,Null,,,
electronic,,scottish techno,techno,,,
electronic,,serbian electronic,Null,,,
electronic,,sky room,edm,,,
electronic,,slap house,edm,,,
electronic,,slovenian electronic,Null,,,
electronic,,slow game,hip hop,,,
electronic,,solo wave,pop,,,
electronic,,soulful house,house,,,
electronic,,south african electronic,Null,,,
electronic,,south african house,afro house,,,
electronic,,south african pop dance,dance,,,
electronic,,space ambient,ambient,,,
